date,name,departure_time,price,cruise,starting,ending
2024-09-15,Road Master Bus President Cruise,12:30 AM 30 seats left,2680.0,President Cruise,Rawalpindi (26 No. ISB),Lahore
2024-09-15,Road Master Bus Premium Cruise,12:30 AM 30 seats left,1990.0,Premium Cruise,Islamabad (FZB),Lahore
2024-09-15,Road Master Bus Premium Cruise,12:30 AM 30 seats left,1990.0,Premium Cruise,Rawalpindi (26 No. ISB),Lahore
2024-09-15,FM Bilal Travel Luxury,12:30 AM 30 seats left,1700.0,Luxury,Rawalpindi Faizabad,Lahore
2024-09-15,FM Bilal Travel Luxury,12:30 AM 30 seats left,1700.0,Luxury,Rawalpindi Kohistan Exp,Lahore
2024-09-15,FM Bilal Travel Luxury,12:30 AM 30 seats left,1700.0,Luxury,Rawalpindi 26 No,Lahore
2024-09-15,Daewoo Express Gold Class,12:30 AM 30 seats left,2793.4294871794873,Gold Class,Rawalpindi,Lahore Thokar
2024-09-15,Daewoo Express Gold Class,12:30 AM 30 seats left,2793.4294871794873,Gold Class,Rawalpindi,Lahore Kalma Chowk
2024-09-15,Daewoo Express Luxury,12:30 AM 30 seats left,2793.4294871794873,Luxury,"Rawalpindi (Faizabad, Isb)",Lahore Thokar
2024-09-15,Daewoo Express Luxury,12:30 AM 30 seats left,2793.4294871794873,Luxury,"Rawalpindi (Faizabad, Isb)",Lahore Kalma Chowk
2024-09-15,Daewoo Express Luxury,12:30 AM 30 seats left,2793.4294871794873,Luxury,Rawalpindi,Lahore Thokar
2024-09-15,Daewoo Express Luxury,12:30 AM 30 seats left,2793.4294871794873,Luxury,Rawalpindi,Lahore Kalma Chowk
2024-09-15,Daewoo Express Gold Class,12:30 AM 30 seats left,2793.4294871794873,Gold Class,"Rawalpindi (Faizabad, Isb)",Lahore Thokar
2024-09-15,Daewoo Express Gold Class,12:30 AM 30 seats left,2793.4294871794873,Gold Class,"Rawalpindi (Faizabad, Isb)",Lahore Kalma Chowk
2024-09-15,Skyways Executive Class,12:30 AM 30 seats left,2793.4294871794873,Executive Class,Islamabad,Lahore
2024-09-15,QConnect Business Class,12:30 AM 30 seats left,2793.4294871794873,Business Class,Islamabad,Lahore
2024-09-18,FM Bilal Travel Luxury,9:30 AM,1700.0,Luxury,Rawalpindi Faizabad,Lahore
2024-09-18,FM Bilal Travel Luxury,9:30 AM,1700.0,Luxury,Rawalpindi Kohistan Exp,Lahore
2024-09-18,FM Bilal Travel Luxury,9:30 AM,1700.0,Luxury,Rawalpindi 26 No,Lahore
2024-09-18,Skyways Executive Class,9:30 AM,2793.4294871794873,Executive Class,Islamabad,Lahore
2024-09-18,QConnect Business Class,9:30 AM,2793.4294871794873,Business Class,Islamabad,Lahore
2024-09-19,FM Bilal Travel Luxury,9:30 AM,1700.0,Luxury,Rawalpindi Faizabad,Lahore
2024-09-19,FM Bilal Travel Luxury,9:30 AM,1700.0,Luxury,Rawalpindi Kohistan Exp,Lahore
2024-09-19,FM Bilal Travel Luxury,9:30 AM,1700.0,Luxury,Rawalpindi 26 No,Lahore
2024-09-19,Skyways Executive Class,9:30 AM,2793.4294871794873,Executive Class,Islamabad,Lahore
2024-09-19,QConnect Business Class,9:30 AM,2793.4294871794873,Business Class,Islamabad,Lahore
2024-09-17,Road Master Bus President Cruise,9:30 AM,2680.0,President Cruise,Rawalpindi (Pirwadhai),Lahore
2024-09-17,Road Master Bus President Cruise,9:30 AM,2680.0,President Cruise,Rawalpindi (26 No. ISB),Lahore
2024-09-17,Road Master Bus Premium Cruise,9:30 AM,1990.0,Premium Cruise,Islamabad (FZB),Lahore
2024-09-17,Road Master Bus Premium Cruise,9:30 AM,1990.0,Premium Cruise,Rawalpindi (26 No. ISB),Lahore
2024-09-17,FM Bilal Travel Luxury,9:30 AM,1700.0,Luxury,Rawalpindi Faizabad,Lahore
2024-09-17,FM Bilal Travel Luxury,9:30 AM,1700.0,Luxury,Rawalpindi Kohistan Exp,Lahore
2024-09-17,FM Bilal Travel Luxury,9:30 AM,1700.0,Luxury,Rawalpindi 26 No,Lahore
2024-09-17,Skyways Executive Class,9:30 AM,2793.4294871794873,Executive Class,Islamabad,Lahore
2024-09-17,QConnect Business Class,9:30 AM,2793.4294871794873,Business Class,Islamabad,Lahore
2024-09-16,Road Master Bus President Cruise,9:30 AM,2680.0,President Cruise,Rawalpindi (Pirwadhai),Lahore
2024-09-16,Road Master Bus President Cruise,9:30 AM,2680.0,President Cruise,Rawalpindi (26 No. ISB),Lahore
2024-09-16,Road Master Bus Premium Cruise,9:30 AM,1990.0,Premium Cruise,Islamabad (FZB),Lahore
2024-09-16,Road Master Bus Premium Cruise,9:30 AM,1990.0,Premium Cruise,Rawalpindi (26 No. ISB),Lahore
2024-09-16,FM Bilal Travel Luxury,9:30 AM,1700.0,Luxury,Rawalpindi Faizabad,Lahore
2024-09-16,FM Bilal Travel Luxury,9:30 AM,1700.0,Luxury,Rawalpindi Kohistan Exp,Lahore
2024-09-16,FM Bilal Travel Luxury,9:30 AM,1700.0,Luxury,Rawalpindi 26 No,Lahore
2024-09-16,Skyways Executive Class,9:30 AM,2793.4294871794873,Executive Class,Islamabad,Lahore
2024-09-16,QConnect Business Class,9:30 AM,2793.4294871794873,Business Class,Islamabad,Lahore
2024-09-12,Road Master Bus President Cruise,9:30 AM,2680.0,President Cruise,Lahore,Rawalpindi (26 No. ISB)
2024-09-12,Road Master Bus President Cruise,9:30 AM,2680.0,President Cruise,Lahore,Rawalpindi (Pirwadhai)
2024-09-12,Road Master Bus Premium Cruise,9:30 AM,1990.0,Premium Cruise,Lahore,Rawalpindi (26 No. ISB)
2024-09-12,Road Master Bus Premium Cruise,9:30 AM,1990.0,Premium Cruise,Lahore,Islamabad (FZB)
2024-09-12,FM Bilal Travel Luxury,9:30 AM,1700.0,Luxury,Lahore,Rawalpindi Faizabad
2024-09-12,FM Bilal Travel Luxury,9:30 AM,1700.0,Luxury,Lahore,Rawalpindi 26 No
2024-09-12,FM Bilal Travel Luxury,9:30 AM,1700.0,Luxury,Lahore,Rawalpindi Kohistan Exp
2024-09-12,Daewoo Express Gold Class,9:30 AM,2793.4294871794873,Gold Class,Lahore Thokar,Rawalpindi
2024-09-12,Daewoo Express Luxury,9:30 AM,2793.4294871794873,Luxury,Lahore Kalma Chowk,Rawalpindi
2024-09-12,Daewoo Express Luxury,9:30 AM,2793.4294871794873,Luxury,Lahore Thokar,Rawalpindi
2024-09-12,Daewoo Express Gold Class,9:30 AM,2793.4294871794873,Gold Class,Lahore Kalma Chowk,Rawalpindi
2024-09-12,Skyways Executive Class,9:30 AM,2793.4294871794873,Executive Class,Lahore,Islamabad
2024-09-12,QConnect Business Class,9:30 AM,2793.4294871794873,Business Class,Lahore,Islamabad
2024-09-12,Wahab Movers Luxury 49,9:30 AM,2793.4294871794873,Luxury 49,Lahore,Rawalpindi
2024-09-12,Niazi Coach Luxury,9:30 AM,2793.4294871794873,Luxury,Lahore,Rawalpindi
2024-09-12,Faisal Express 34 Seater,9:30 AM,2793.4294871794873,34 Seater,Lahore,Rawalpindi
2024-09-13,Road Master Bus President Cruise,9:30 AM,2680.0,President Cruise,Lahore,Rawalpindi (26 No. ISB)
2024-09-13,Road Master Bus President Cruise,9:30 AM,2680.0,President Cruise,Lahore,Rawalpindi (Pirwadhai)
2024-09-13,Road Master Bus Premium Cruise,9:30 AM,1990.0,Premium Cruise,Lahore,Rawalpindi (26 No. ISB)
2024-09-13,Road Master Bus Premium Cruise,9:30 AM,1990.0,Premium Cruise,Lahore,Islamabad (FZB)
2024-09-13,FM Bilal Travel Luxury,9:30 AM,1700.0,Luxury,Lahore,Rawalpindi Faizabad
2024-09-13,FM Bilal Travel Luxury,9:30 AM,1700.0,Luxury,Lahore,Rawalpindi 26 No
2024-09-13,FM Bilal Travel Luxury,9:30 AM,1700.0,Luxury,Lahore,Rawalpindi Kohistan Exp
