name,rating,category
Safari Club 4,3.4318181818181817,Hotels
Lux Inn Boys Hostel,4.371428571428571,Hotels
Diplomat hotel in Islamabad,3.784090909090909,Hotels
Five Giants Homestay Lahore,4.222222222222222,Hotels
"1 Bed Modern Apartment, Pool, Gym, Cinema",4.52542372881356,Hotels
Hotel Rest INN,4.8,Hotels
Homely Guest house Bahria Town,4.809523809523809,Hotels
Metro Crown Safari Hotel Airport,3.646464646464647,Hotels
White House Executive - Guest House,4.181818181818182,Hotels
City Palace Hotel,4.701492537313433,Hotels
INDEX HOTEL,3.36,Hotels
Red Deluxe Hotel,3.704081632653061,Hotels
Trivelles Executive Suites,4.371428571428571,Hotels
Al-Haider Hotel,4.055045871559633,Hotels
Hotel Kashmir International,4.222222222222222,Hotels
Hotel Empire,4.096774193548387,Hotels
Al aziz place hotel,3.6,Hotels
Durrani Lodges - Guest House G11,4.52542372881356,Hotels
Gulberg Suites,4.651162790697675,Hotels
Hotel Koh-e-Noor,3.9444444444444446,Hotels
Pearl House luxury villa E11,4.8,Hotels
family sweet hotel,4.254237288135593,Hotels
White Rose Hotel,4.138461538461539,Hotels
Hotel Asia,3.646464646464647,Hotels
New Capital Hotel,3.5350877192982457,Hotels
Roomy Signature Hotel,4.701492537313433,Hotels
Lahore Guest House Rated 4.8 Stars .,3.965116279069768,Hotels
Hotel Standard Palace,4.2,Hotels
Grand Regency Hotel,3.704081632653061,Hotels
Bloom Family Suites,4.0,Hotels
Crown Plaza Hotel,4.055045871559633,Hotels
Gold Star Hotel,3.809090909090909,Hotels
HOTEL 11,4.096774193548387,Hotels
ROYAL GREEN HOTEL,3.0,Hotels
Safari Hotel,3.1,Hotels
Hotel Crown City,3.6,Hotels
New City Palace Hotel,3.8764044943820224,Hotels
Arya Hotel,4.651162790697675,Hotels
One Bedroom Apartment Penta Square Phase 5 DHA Lahore,4.559322033898305,Hotels
Aleph Islamabad Guest House,3.9444444444444446,Hotels
Two Bedroom Private Apartment opposite DHA Phase8.,4.35,Hotels
Hotel Zea Care Johar Town Lahore,4.055555555555555,Hotels
The Mark Suites and Banquet Halls,4.254237288135593,Hotels
Lahore Hostel Wapda Town,4.647058823529412,Hotels
Whispering Pines Hotel & Residences,4.138461538461539,Hotels
